id,qtd_worse,missed_it
377393_30290,1,knn
377394_30290,1,knn
377395_30290,1,knn
460759_39350,1,knn
151788_14840,1,knn
301226_24897,1,knn
151789_14840,1,knn
351462_25450,1,knn
160597_594,1,knn
90730_6220,1,mlp
75182_10651,1,mlp
73283_6496,1,mlp
73286_6496,1,mlp
300284_24536,1,mlp
37287_4811,1,mlp
37289_4811,1,mlp
76217_6137,1,mlp
91505_5701,1,mlp
308112_26465,1,mlp
97261_10015,1,mlp
469868_40967,1,mlp
171199_13390,1,mlp
399836_33581,1,mlp
467161_40229,1,mlp
182265_17265,1,mlp
406123_32024,1,mlp
362177_27578,1,mlp
386252_29902,1,mlp
386251_29902,1,mlp
359526_27721,1,mlp
55896_7340,1,mlp
186484_20682,1,mlp
68222_7616,1,rf
39357_6697,1,rf
68174_7614,1,rf
39336_6696,1,rf
114587_12878,1,rf
137316_6216,1,rf
396945_32550,1,rf
140587_14506,1,rf
442041_37226,1,rf
380514_28426,1,rf
55895_7340,1,rf
82455_9042,1,rf
55689_7324,1,rf
36460_4718,1,rf
358385_27424,1,rf
300270_24533,1,rf
371111_28027,1,svr
371110_28027,1,svr
371112_28027,1,svr
146128_16796,1,svr
146127_16796,1,svr
445009_37581,1,svr
151726_14828,1,svr
159439_16509,1,svr
310051_26689,1,svr
112262_12308,1,svr
151720_14828,1,svr
383006_29429,1,svr
360544_27391,1,svr
159440_16509,1,svr
394237_31691,1,svr
159435_16509,1,svr
159432_16509,1,svr
383007_29429,1,svr
153023_15158,1,svr
399092_33385,1,svr
466779_40114,1,svr
81828_8912,1,svr
81829_8912,1,svr
53629_7025,1,svr
38741_6635,1,svr
38740_6635,1,svr
38739_6635,1,svr
38738_6635,1,svr
38743_6635,1,svr
98323_5139,1,svr
14993_4594,1,svr
386255_29902,1,svr
386254_29902,1,svr
467135_40229,1,svr
55898_7340,1,svr
464039_39505,1,svr
55900_7340,1,svr
468512_40589,1,svr
