ID,Li,Be,B,O,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U,YoungModulusGPa
496971_42671,0.08240055468174,0,0,0.585372769890284,0.063049397877616,0,0.051413394234208,0.208878788811004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008885094505149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
499033_42997,0,0,0.005264509002468,0.636588321000318,0,0.015921930916244,0.079481253056563,0.230418617983193,0,0,0.016563940923703,0,0,0,0,0,6.42013350907585E-05,0,0,0,0,0,0,0,0,0,0.00471879835036,0,3.21006722019924E-05,0,0,0,0,0,0,0,0,0.000321006717363,0,0,0,0.010625320042496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
464884_39662,0.033005152266181,0,0,0.621807267496927,0.00084089547338,0.071686336144051,0.02179321242243,0.249640830053104,0,0,0.001226306143928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
194561_24744,0,0,0,0.625573943058374,0,0.077136471711442,0.101658192371073,0.186256392482857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009375000376254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
499022_42997,0,0,0.00557281437932,0.637222530943155,0,0.014028118625986,0.079364573103205,0.23165618467297,0,0,0.018031578629445,0,0,0,0,0,6.4055345079681E-05,0,0,0,0,0,0,0,0,0,0.00349101657227,0,6.4055345079681E-05,0,0,0,0,0,0,0,0,0.000224193684496,0,0,0,0.010280878698994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
530769_43380,0,0,0,0.65059036306991,0.000139252403863,0.014716449987754,0.06133434777404,0.225240802945296,0,0.000316482708112,0.000113933803605,0,0.021077749746039,0,0,0.022375330942909,0.000613976605728,0,0,0,0,0,0,0,0,0,0,0.003481310012745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
447058_37832,0,0,0.040772670658033,0.631390097702433,0,0.024427139135101,0.088776261922986,0.197969298074205,0,0,0.016618959479205,0,0,0,0,0,1.82292093523018E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73438186850654E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
480753_41245,0,0,0.164826512873549,0.637364827643455,0,0,0,0.192316309443164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005492350039832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
148386_20144,0,0,0.087202575979662,0.60929228610512,0.085681246128012,0,0,0.208330799068061,0,0,0,0,0.009493092719146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
478414_40945,0.031610584056163,0,0.005882542982944,0.605061580308666,0.022560523430524,0.027020913688842,0.060053648085445,0.199360037033218,0,0.0204919320139,0.014286172069143,0,0.010278291994666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000484824958431,0.002908949378058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
148112_20144,0,0,0.063978090171853,0.594369200597341,0.115659704001558,0,0.022827579934309,0.193456096303244,0,0,0,0,0.009709328991694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
498962_42996,0,0,0.007683863793137,0.635823621623072,0,0.017175697150431,0.074836959258343,0.229902465257196,0,0,0.017304837748436,0,0,0,0,0,0.000129140579378,0,0,0,0,0,0,0,0,0,0.004519919440046,0,6.45702803758701E-05,0,0,0,0,0,0,0,0,0.000355136570007,0,0,0,0.012203788299577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
498704_42994,0,0,0.008358663461388,0.634973398377102,0,0.008896909582797,0.088399185926068,0.221282937051471,0,0,0.019028622562274,0,0,0,0,0,6.3323202396439E-05,0,0,0,0,0,0,0,0,0,0.009023555168026,0,3.16615942132991E-05,0,0,0,0,0,0,0,0,0.000221631227014,0,0,0,0.00972011184725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
194538_24743,0,0,0,0.624142298258548,0,0.076908068015151,0.10133000289284,0.185750101446807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011869529386656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
446564_37816,0.05508195732617,0,0,0.591803268170748,0.03278687867962,0.026229509619416,0.04262294657504,0.213114790095657,0,0.030163928671352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008196720861998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
403113_31357,0,0,0,0.626137307028203,0.001706176769767,0.053842995172643,0.08924616582751,0.199557068086347,0,0,0.020277247121638,0,0.007809038913861,0,0,0,0.000570912918666,0,0,0,0,0,0,0,0,0,0,0,0.000853088161366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
403112_31357,0,0,0,0.629284326691695,0.001710611302407,0.053917141404535,0.081188226469766,0.208398437929594,0,0,0.01477046286294,0,0.007270096098077,0,0,0,0.000598713829182,0,0,0,0,0,0,0,0,0,0,0,0.002861983411804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
478143_40901,0,0,0.007683863793137,0.635823621623072,0,0.017175697150431,0.074836959258343,0.229902465257196,0,0,0.017304837748436,0,0,0,0,0,0.000129140579378,0,0,0,0,0,0,0,0,0,0.004519919440046,0,6.45702803758701E-05,0,0,0,0,0,0,0,0,0.000355136570007,0,0,0,0.012203788299577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
498643_42994,0,0,0.009878731561355,0.634803555543767,0,0.009087166914482,0.087198817527973,0.22078330846158,0,0,0.020612351153195,0,0,0,0,0,6.33252043461855E-05,0,0,0,0,0,0,0,0,0,0.007187411761985,0,3.16626021730927E-05,0,0,0,0,0,0,0,0,0.000221638212883,0,0,0,0.010132031056262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
604367_43726,0,0,0,0.599023704528809,0.104602499008179,0,0,0.229428195953369,0,0,0.046025099754334,0,0.02092050075531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
110887_1965,0,0,0.130933902501653,0.618172406554376,0,0,0.021558420304742,0.159038998857991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001583386931692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000535915485181,0,0,0.068176969364365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
460034_38854,0.18396229414726,0,0.283018874458546,0.528301850669791,0,0,0,0,0,0,0,0,0,0.004716980724402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
