"Li","Be","B","O","Na","Mg","Al","Si","P","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","Ge","As","Se","Rb","Sr","Y","Zr","Nb","Mo","Ru","Rh","Pd","Ag","Cd","In","Sn","Sb","Te","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Hg","Tl","Pb","Bi","Th","U","Tg","Tliquidus"
0,0,0.035714293928572,0.666666673333334,0,0,0,0.233630925699402,0.035714293928572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02827381311012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.15,1273.15
0,0,0.072289157108434,0.656626473734941,0,0,0,0.234939790602408,0.012048189518073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024096389036145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910.15,1279.15
0,0,0,0.6375839,0,0,0,0,0,0,0,0,0.1006711,0,0,0,0,0,0,0,0,0,0.1208054,0,0,0,0,0,0.01006711,0,0,0,0,0,0,0,0,0,0,0,0,0.0671141,0.04697987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00671141,0,0,0,0,0,0.01006711,0,1035.15,1506.15
0,0,0,0.609801392987284,0.02236873974276,0.011465869868143,0.045323569478779,0.215354397523424,0,0.032870229621992,0.041203249526163,0,0.004339006950101,0,0,0,0,0,0,0,0,0,0,0.000700733591942,0,0,0,0,0.003750194956873,0,0,0,0,0,0,0,0,0.000766575891184,0,0,0,0.012056039861356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930.15,1473.15
0.00768691205695,0,0,0.613716784386058,0.014824662038391,0.011398581567305,0.036045904956312,0.229382431540084,0,0.025361303487179,0.040963605632496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004433565609615,0,0.003728186512626,0,0,0,0,0,0,0,0,0,0.000472810565011,0,0,0.011985251647972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923.15,1483.15
0,0,0,0.611494774500668,0.022585909058168,0.011577299517227,0.032034628664156,0.225211390608685,0,0.029721798760601,0.04576474809161,0,0.001460391939102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005680244763134,0,0,0,0,0,0,0,0,0.000774024667723,0,0,0,0.013694789428927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928.15,1463.15
0,0,0,0.600148519744886,0.056323421853041,0.032479851068587,0.059915461971219,0.203348106690153,0,0.013897240457219,0.023344230768025,0,0,0,0,0,0,0,0,0,0,0,0,0.000661684121769,0,0,0,0,0.001770634058254,0,0,0,0,0,0,0,0,0,0,0,0,0.008110849266847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922.15,1498.15
0,0,0,0.603487977670945,0.016651789383884,0.017813689340894,0.035207518697322,0.223676591723966,0,0.062882047673364,0.026806339008166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008011512703574,0,0.005462533797886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942.15,1393.15
0,0,0,0.611330940959173,0.034516872312631,0.024373061632995,0.011989720803311,0.248513716650419,0,0.03661686245333,0.024524751643158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003720278249259,0,0,0,0,0,0,0,0,0,0,0,0,0.004413795295724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919.15,1393.15
0,0,0,0.602805590289383,0.020763346221071,0.024772495491406,0.030900364376134,0.223781159271829,0,0.061241918853971,0.024926505463376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003426142376442,0,0.007382477656389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955.15,1373.15
0,0,0,0.605100395764297,0.003620963974653,0.020602389855783,0.010565219926044,0.241291898310957,0,0.086246589396274,0.024012339831914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008560202940079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945.15,1403.15
0,0,0,0.606827605334894,0.014199847784824,0.02401942625297,0.01726320730694,0.238753262754491,0,0.065401359797388,0.027464415715551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006070875052944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930.15,1413.15
0,0,0,0.606794613349482,0.007137396157023,0.024145780531207,0.017353870381785,0.238537305247821,0,0.072318731591012,0.027609310607405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006102992134266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936.15,1403.15
0,0,0.149425302988506,0.61494251229885,0,0,0.091954021839081,0.074712641494253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068965521379311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980.15,1305.15
0,0,0.1363636,0.6136364,0,0,0.09090909,0.06818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985.15,1438.15
0,0,0.123595501235955,0.612359506123595,0,0,0.089887640898876,0.061797750617978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112359601123596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020.15,1533.15
0,0,0.117647088235291,0.592647040735296,0,0,0,0.180882381911762,0,0.108823489117651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920.15,1407.15
