"Li","Be","B","O","Na","Mg","Al","Si","P","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","Ge","As","Se","Rb","Sr","Y","Zr","Nb","Mo","Ru","Rh","Pd","Ag","Cd","In","Sn","Sb","Te","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Hg","Tl","Pb","Bi","Th","U","Tg","Tliquidus"
0.120968486693466,0,0,0.602924333678323,0,0,0.019548307849686,0.256558871778524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753.15,1528.15
0.125409588713137,0,0,0.599901746008843,0,0,0.024360587807547,0.250328077470473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776.15,1463.15
0.129825602596512,0,0,0.596891411937828,0,0,0.029174680583494,0.244108304882166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725.15,1363.15
0.134208208052493,0,0,0.593909135634548,0,0,0.033920442035227,0.237962214277733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741.15,1388.15
0.138668783359746,0,0,0.59089382909274,0,0,0.038630615364326,0.231806772183187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751.15,1403.15
0.142888111431049,0,0,0.588015047041204,0,0,0.043245323459626,0.225851518068121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758.15,1423.15
0.076923070769231,0,0.038461540384616,0.596153805961538,0.051282050512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02564103025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211538502115385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553.15,863.15
0.066666667333333,0,0,0.599999976000001,0.066666667333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266666689333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519.15,793.15
0,0,0,0.588069188238616,0.117896197642076,0,0,0.23508649529827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058948118821038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723.15,1313.15
0,0,0,0.595281829764091,0.095099644754982,0,0,0.238113411905671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071505113575256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743.15,1423.15
0,0,0,0.602388333737283,0.072358742040538,0,0,0.240956073494832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084296850727347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784.15,1513.15
0,0,0.050847464067797,0.666666653333332,0,0,0,0.231638418531074,0.050847464067797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.15,1237.15
0,0,0.053221291064426,0.666666613333332,0,0,0,0.226890804537816,0.053221291064426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985.15,1233.15
0,0,0.055555555555556,0.666666666666667,0,0,0,0.222222222222222,0.055555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995.15,1249.15
0,0,0.068965514482759,0.660919547126436,0,0,0,0.235632181149425,0.03448275724138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935.15,1242.15
0,0,0.067415726629214,0.662921366853932,0,0,0,0.224719088764046,0.044943817752809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940.15,1240.15
0,0,0.065934075274726,0.664835153186812,0,0,0,0.214285717142857,0.054945054395604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.15,1263.15
0,0,0.066666674000001,0.666666639999998,0,0,0,0.200000012000001,0.066666674000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030.15,1292.15
0,0,0.09195401724138,0.655172380344829,0,0,0,0.229885093103447,0.022988509310345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925.15,1226.15
0,0,0.08988764,0.6573034,0,0,0,0.2191011,0.03370786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915.15,1218.15
0,0,0.088888882888889,0.658333347333332,0,0,0,0.213888882888889,0.038888886888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920.15,1236.15
0,0,0.086956523478261,0.660326126413045,0,0,0,0.203804308152172,0.048913041956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940.15,1264.15
0,0,0.131868097362638,0.648351687032966,0,0,0,0.197802196043956,0.02197801956044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830.15,1166.15
0,0,0.129730707783842,0.651351239081074,0,0,0,0.181080010864801,0.037838042270283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850.15,1243.15
0,0,0.073393827064247,0.654434373822625,0,0,0,0.259939289602428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122325095107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860.15,1332.15
0,0,0.074074067777778,0.654320980370371,0,0,0,0.246913592592592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024691359259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870.15,1323.15
0,0,0.090909097272728,0.651515152121212,0,0,0,0.227272718181817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030303032424243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815.15,1300.15
0,0,0.090909096363637,0.65151514560606,0,0,0,0.215151515060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042424242969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830.15,1295.15
0,0,0.027522942752294,0.666666666666667,0,0,0,0.259938825993883,0.027522942752294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018348621834862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.15,1336.15
0,0,0.027522942477065,0.666666659999999,0,0,0,0.253822622844036,0.027522942477065,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024464832201835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980.15,1327.15
0,0,0.035714292857144,0.666666653333332,0,0,0,0.24404761952381,0.035714292857144,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017857141428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960.15,1287.15
0,0,0.035714293928572,0.666666673333334,0,0,0,0.233630925699402,0.035714293928572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02827381311012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.15,1273.15
0,0,0.072289157108434,0.656626473734941,0,0,0,0.240963890361444,0.012048189518073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018072289277109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880.15,1285.15
0,0,0.072289157108434,0.656626473734941,0,0,0,0.234939790602408,0.012048189518073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024096389036145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910.15,1279.15
0,0,0.083333335833334,0.654761945833336,0,0,0,0.232142816249997,0.011904760833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01785714125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890.15,1265.15
0,0,0.051475391008918,0.638972812523867,0.0284081505568,0,0.007793715152757,0.265161905197173,0,0.005293298103749,0.000382042407488,0,0,0,0,0,0,0,0,0,0.002512685049249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831.15,1455.15
0,0,0.052301886652679,0.638695359123497,0.02814983819841,0,0.009472301393773,0.262728483185377,0,0.004299735724817,0.001840324882219,0,0,0,0,0,0,0,0,0,0.002512070839227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829.15,1461.15
0,0,0.069069093576574,0.638552140614651,0.02203408795083,0,0.007734254280714,0.25257827651022,0,0.00571752346827,0.001715009840504,0,0,0,0,0,0,0,0,0,0.002599613758236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803.15,1345.15
0,0,0.067541005893507,0.640610661050872,0.021056718719752,0,0.009411422427786,0.255025584494444,0,0.003504453786929,0.000444923772949,0,0,0,0,0,0,0,0,0,0.002405229853762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797.15,1361.15
0,0,0.052171206448361,0.640088079114887,0.022294472755597,0,0.007937607981088,0.263259832538915,0,0.003981726492141,0.000492814460912,0,0,0,0,0,0,0,0,0,0.009774260208099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808.15,1409.15
0,0,0.052845098520337,0.638282682128085,0.022659109365545,0,0.009738436727324,0.259311992739264,0,0.005417645848306,0.001975275944692,0,0,0,0,0,0,0,0,0,0.009769758726447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811.15,1410.15
0,0,0.068365377675577,0.634433778429252,0.027634179060438,0,0.00776794373589,0.246585491616093,0,0.003934780866217,0.001739339940862,0,0,0,0,0,0,0,0,0,0.00953910867567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786.15,1364.15
