,mean_absolute_error,mean_absolute_error,r2_score,RRMSE,RMSE,range,alg
0,16.41523400918224,528.5058795852218,0.6316208975428491,0.6069424210393857,22.989255742307574,525,RF
1,16.854900559648566,598.2045121734011,0.5721107078591077,0.6541324729295224,24.4582197261657,525,RF
2,16.30101932560102,526.1279959760931,0.6432243156542604,0.5973070268678744,22.937480157508432,525,RF
3,16.10066954388789,554.3934764103606,0.580156824341411,0.6479530659381041,23.545561713630036,525,RF
4,15.612928189841094,478.59078375187505,0.6529144842578474,0.5891396402739784,21.87671784687719,525,RF
5,20.04257846443008,741.3691333422533,0.5112297806706392,0.6991210333907576,27.228094559521665,525,RF
6,16.94718136621348,553.8149840586342,0.6304090268655913,0.6079399420456011,23.533273976619448,525,RF
7,14.889914517110116,396.41016806926353,0.6878326031128539,0.558719425908162,19.910051935373335,525,RF
8,15.519872225930708,497.31557411749014,0.6596415597257954,0.5834024685191215,22.300573403334052,525,RF
9,16.182340077083992,492.36322790881576,0.576352485035919,0.6508821052725916,22.18925929157654,525,RF
10,15.563667721417307,468.48352894140123,0.6467108583072156,0.5943813100130121,21.64448033428849,525,RF
11,16.680429382767322,503.2448826344192,0.6327316603706892,0.6060266822750553,22.43312021619862,525,RF
12,16.60960007657725,553.9014993122016,0.58668124871996,0.6428987099691832,23.535112052255066,525,RF
13,15.008827171198156,432.91436105716554,0.6878771676393363,0.5586795435315882,20.80659417245325,525,RF
14,17.7173279697501,635.3173472456169,0.5795897247124004,0.6483905268336356,25.205502320834967,525,RF
15,16.263071395983705,517.7643550611762,0.5738081547264609,0.6528337041494864,22.754435942496492,525,RF
16,16.341545684555197,578.0118716476115,0.6119252088575237,0.622956492174595,24.04187745679633,525,RF
17,18.087940673066125,575.2240232788195,0.5777583094137287,0.6498012700712975,23.98382836994168,525,RF
18,18.93280680334912,785.486129043239,0.5260952630340117,0.6884073917136483,28.026525454348402,525,RF
19,15.023214950561998,372.18521378340523,0.7002247987003637,0.5475173068494149,19.292102368155867,525,RF
20,18.07271902987948,616.9454271106661,0.5758705750131112,0.6512521976829628,24.8383861615578,525,RF
21,18.11035910038538,731.3257677591793,0.38936273105483865,0.7814328307315743,27.043035476055184,525,RF
22,15.892142840525176,452.69750143909977,0.6764274559471589,0.5688343731288055,21.276689155954216,525,RF
23,17.07258377348273,557.9771287291562,0.6106528553898818,0.6239768782656279,23.62153950802437,525,RF
24,16.253632274905197,489.2590217724764,0.6583063156911624,0.5845457076301541,22.119200296856945,525,RF
25,13.997599658994536,345.1162229549609,0.7418839876218937,0.5080511907063169,18.577303974338175,525,RF
26,15.033420501528468,507.67301761533025,0.6310247590076133,0.6074333222604656,22.5316004228579,525,RF
27,15.401486819581006,371.47925631018876,0.6886630061506182,0.5579758004155573,19.27379714301748,525,RF
28,16.587150938227236,593.8690681262433,0.5854789180019437,0.6438331165745175,24.369428965945083,525,RF
29,18.804445408710386,721.8547441442253,0.546755125647169,0.6732346354376244,26.867354617532133,525,RF
30,15.455133811811393,420.06731648328423,0.657207964683348,0.5854844449826587,20.495543820140128,525,RF
31,17.271748248766198,607.3736321243794,0.5971092105277225,0.6347367875523503,24.644951453074103,525,RF
32,16.49152034413404,476.4580686497036,0.6258947188662685,0.6116414645310858,21.827919475976255,525,RF
33,17.60217360244271,613.5109110959222,0.5479681238369829,0.6723331586074103,24.76915240971968,525,RF
34,16.03424441618206,495.6866739751355,0.6251503224448033,0.6122496856309497,22.264021963138994,525,RF
35,17.243311401392113,550.1117951679912,0.6303555444737052,0.6079839270295677,23.454462159000602,525,RF
36,14.51956226082914,380.349954570053,0.7005703992086455,0.5472016089078636,19.502562769288886,525,RF
37,14.84478422060298,430.606118634329,0.663811214617553,0.5798178898433948,20.751051024811467,525,RF
38,19.32278070399993,857.491572924953,0.516576289099584,0.695286783205618,29.282957038607847,525,RF
39,15.353950273821724,469.55714740582584,0.6420823444238026,0.5982621963455466,21.669267348155216,525,RF
40,15.353876335201738,466.943534554591,0.6077143488016032,0.6263271119777561,21.608876290880815,525,RF
41,16.514152535519393,524.504796142042,0.5383446469533715,0.6794522448609824,22.902069691231883,525,RF
42,17.40249456450713,584.9904540214067,0.5629071618309641,0.6611299707085104,24.1865759052704,525,RF
43,17.391347234337996,620.9442859202418,0.5833680606872518,0.6454703241147095,24.918753699176886,525,RF
44,17.724759402139846,630.6688469249557,0.6647522491200248,0.5790058297461047,25.113121011235457,525,RF
45,16.434073241180347,516.3853547617465,0.5733454594686844,0.6531879825374283,22.724113948881406,525,RF
46,18.19916707532861,691.9840374797675,0.5331044396643493,0.6832975635370367,26.305589472197113,525,RF
47,16.287865366922585,494.67213759046905,0.6424805239859175,0.5979293235944215,22.241226081096993,525,RF
48,15.144365469708129,447.17837312897734,0.6728736242427142,0.5719496269404202,21.146592470868146,525,RF
49,14.407754607273935,398.83500644154634,0.7064731808585258,0.5417811542878491,19.97085392369456,525,RF
50,22.91726393925421,1102.661223455881,0.5736750789759493,0.6529356178246449,33.20634312079367,600,DT
51,22.805083228776983,1066.4171177136388,0.5448958192634158,0.6746140976414473,32.656042591129115,600,DT
52,21.061417251826413,856.4708951120565,0.6522034406598245,0.5897427908335765,29.265524002007147,600,DT
53,20.54554801550636,878.5432672627197,0.6220644286142096,0.6147646471502655,29.640230553467692,600,DT
54,21.981705117314462,938.8540208308863,0.5892743388090482,0.6408788194276293,30.640724874436085,600,DT
55,21.710697107642016,995.5805448957441,0.5927107016129948,0.6381922111613438,31.552821504514363,600,DT
56,21.964267679488415,945.607248708119,0.5965786956855268,0.6351545515183475,30.75072761266177,600,DT
57,21.778310299448613,861.4934249874509,0.6615861876983651,0.5817334546866245,29.351208237267695,600,DT
58,22.22943149762907,1033.1047232690457,0.5847077522962829,0.6444317246254385,32.14194647604662,600,DT
59,21.757514763504208,915.5202892314935,0.5643944772513684,0.6600041838872172,30.257565818014733,600,DT
60,20.830732593702418,841.1206160238628,0.6343987783983303,0.6046496684871908,29.002079512060213,600,DT
61,21.452224246674266,920.9894122079654,0.6008959144149579,0.6317468524536091,30.34780737068109,600,DT
62,20.752713295790347,842.8378753636653,0.6559136130428411,0.5865887715914436,29.031670213125274,600,DT
63,21.421113324061142,867.1637046016383,0.640993161246506,0.599171794023629,29.447643447339523,600,DT
64,23.721336750392293,1229.7087666067787,0.5102116581176181,0.6998487993005217,35.067203575517375,600,DT
65,22.800090010399966,991.9755644478543,0.553251703684094,0.6683923221551142,31.49564357888015,600,DT
66,22.048838166819337,1005.0751178299423,0.6002171985398064,0.6322837981952357,31.702919705130352,600,DT
67,21.480455792047103,863.5522181677883,0.6397202800916288,0.60023305466158,29.386259002598276,600,DT
68,23.05427744390508,1185.6536203919798,0.5223892807406376,0.6910938570551488,34.433321367419374,600,DT
69,21.654021776485184,827.899609897168,0.6406854167719105,0.5994285472248461,28.77324468837618,600,DT
70,22.77074612909814,1052.4054499574954,0.5635162629797703,0.6606691585205333,32.440799157195485,600,DT
71,22.809099538408436,1022.1192238322278,0.5200896447670125,0.6927556244686777,31.970599366171225,600,DT
72,21.706726401599937,866.542718720279,0.6360945997041164,0.6032457213241413,29.437097661289215,600,DT
73,20.785285715313353,855.723706406614,0.6231796492999445,0.6138569464460393,29.252755535275888,600,DT
74,22.166008251398804,970.1596423349639,0.6249308361955193,0.6124289051020377,31.147385802583237,600,DT
75,21.4461500176671,850.281355890586,0.6276664009673316,0.6101914445751172,29.15958428871348,600,DT
76,21.17075636413744,900.6473064693362,0.6013818220471195,0.6313621606913741,30.010786502011843,600,DT
77,19.620201023201073,767.5309082847573,0.6699627317639327,0.5744887015739014,27.704348183719414,600,DT
78,21.774716190836124,982.1284798255897,0.6097795774835001,0.6246762541641069,31.338929142930038,600,DT
79,22.785716843595686,1038.847005837414,0.6164693718807539,0.6192984967842616,32.231149620164246,600,DT
80,22.383912976010677,937.227991573963,0.5821155488739511,0.6464398279237201,30.614179583551852,600,DT
81,21.781846275792677,960.0004448715611,0.5907942818872389,0.6396918931116456,30.98387394874245,600,DT
82,22.683118723015195,949.0642762626004,0.5935425627535842,0.63754014559588,30.8068868317232,600,DT
83,23.314133301740327,1066.2485840350664,0.545710007061577,0.6740103804381821,32.653462052821695,600,DT
