,mean_absolute_error,mean_absolute_error,r2_score,RRMSE,RMSE,range,alg
0,26.386833369543037,1634.304916670123,0.7196390998088433,0.5294911710228573,40.426537282707294,900,RF
1,24.763325951421727,1351.5805827216846,0.7334824103776796,0.5162534160877973,36.763848856202266,900,RF
2,28.256692856593126,1987.626805967129,0.6821688393134061,0.563765164484818,44.58280841274055,900,RF
3,23.898519843492025,1144.1593703152787,0.7505772881597287,0.49942237819331975,33.825424909604294,900,RF
4,26.558754587514716,1538.691172900663,0.722652134270869,0.5266382683864997,39.22615419462712,900,RF
5,25.914091131272876,1394.2386489537257,0.7349341012593525,0.5148455095857858,37.33950520499335,900,RF
6,25.84163200272566,1577.2404805855897,0.7062961435840238,0.5419445141487975,39.71448703666698,900,RF
7,24.827470818732614,1500.9133787503547,0.720549286707607,0.52863098026165,38.74162333654018,900,RF
8,25.72805297633516,1635.6524504771553,0.6970586250558106,0.5504011036909259,40.44320029964438,900,RF
9,25.881810265337297,1395.3961600830403,0.7341758113925023,0.5155814083221948,37.35500180809847,900,RF
10,26.16862641063975,1834.8734547412432,0.6836698999966938,0.5624323070408618,42.83542289672466,900,RF
11,26.810263872665043,1656.2387852848942,0.6767217231459467,0.5685756562270788,40.6969137071215,900,RF
12,26.210473088824475,1685.6538712730028,0.6965250950832708,0.5508855642660545,41.056715300581494,900,RF
13,26.93359963987108,1573.9460549001235,0.7155452001092197,0.5333430414759157,39.67298898369171,900,RF
14,24.659793952941325,1252.5640393277563,0.7352112533299883,0.5145762787673094,35.391581475370046,900,RF
15,25.42222565278541,1566.7776245853045,0.7348970665457775,0.5148814751515368,39.582541916674636,900,RF
16,25.108595501684192,1293.900900146905,0.751006666846372,0.49899231773007097,35.970834020729974,900,RF
17,25.32020332402495,1420.6062257282047,0.7375872085937336,0.5122624243551994,37.69093028472771,900,RF
18,25.767818035574557,1518.7477062754642,0.7359625952762696,0.5138457012798009,38.97111374178911,900,RF
19,26.641287302693225,1490.185558628075,0.7008997992401125,0.5469005400983687,38.60292163331779,900,RF
20,26.98703999453288,1869.3592753800506,0.6741565309060189,0.5708270045241212,43.23608765117457,900,RF
21,26.488639170256555,1674.8289590558634,0.6856548114565082,0.5606649521269291,40.924674208304495,900,RF
22,27.481786405629364,1790.302623364143,0.663300821728841,0.5802578549844534,42.31196785029199,900,RF
23,26.78812383410578,1678.4825159227216,0.6972592878392567,0.5502187857214103,40.96928747150384,900,RF
24,23.658963041054104,1143.2934791719138,0.7521451613538428,0.4978502170795521,33.8126230744069,900,RF
25,25.389493629079364,1263.5588995655562,0.7622482136971849,0.48759797610615147,35.546573668436125,900,RF
26,25.856920477899738,1509.6668061018188,0.7315763786772662,0.5180961506542331,38.85443097127815,900,RF
27,25.554573656164607,1684.6386681601407,0.711246234803729,0.5373581349493752,41.04435001507687,900,RF
28,25.188056553036144,1311.480253431028,0.7552590017384064,0.4947130463830457,36.21436529101439,900,RF
29,25.405768664095206,1466.6287070671533,0.7269091359616544,0.5225809640987179,38.296588713188974,900,RF
30,25.791212249097814,1581.6063962983285,0.7046954413056205,0.543419321237642,39.76941533764771,900,RF
31,25.10300903983919,1393.007569527386,0.7262945270498726,0.5231686849861403,37.323016618802214,900,RF
32,26.385224772960978,1491.7267510467227,0.7224875122962098,0.5267945403131947,38.62287859606949,900,RF
33,28.401240878779202,2010.3477809611807,0.6717336146023356,0.5729453598709604,44.836902000039885,900,RF
34,25.489387052957692,1434.31868529817,0.7392803280911096,0.5106071600642615,37.872400046711725,900,RF
35,23.945484610503083,1305.6114856919337,0.7285482390719276,0.5210103270839,36.13324626561989,900,RF
36,25.930534955745458,1621.2831785174253,0.7217399264165493,0.527503624237266,40.26516085299331,900,RF
37,25.615011495772094,1285.0993971887963,0.7332625781784481,0.5164662833346935,35.848283043805544,900,RF
38,26.505607832182662,1746.0863122733967,0.6844258084522944,0.5617599056071069,41.78619762880318,900,RF
39,25.38287852433117,1402.0165052923685,0.7449314026753731,0.5050431638232785,37.4435108569211,900,RF
40,26.71332327562397,1923.5823252936991,0.6876577541278501,0.5588758769817765,43.858663058667204,900,RF
41,24.930746344086984,1561.302984730014,0.7320684092701152,0.5176210879880039,39.51332667252928,900,RF
42,25.138567902219716,1314.9817168995626,0.7414937597884614,0.5084350894770526,36.26267663727489,900,RF
43,25.760299810993008,1771.5162074239774,0.6824880159149753,0.5634820175347431,42.089383547683106,900,RF
44,26.303810369254744,1512.1409290574397,0.7152838496132946,0.5335879968540385,38.88625630036196,900,RF
45,26.546807622903017,1535.1396523895125,0.7147559162724102,0.5340824690322552,39.18085823957296,900,RF
46,25.673967547166683,1383.4893234442368,0.7112560605126412,0.537348992264207,37.19528630679211,900,RF
47,26.291314772053422,1685.6392891627181,0.7059143721688361,0.5422966234738733,41.05653771523749,900,RF
48,25.11855359460772,1318.305004760817,0.7551846024808393,0.49478823502500613,36.30847015175408,900,RF
49,25.401253823209732,1358.9097545833108,0.7103085163632994,0.5382299542358272,36.86339315070319,900,RF
50,37.51124284792207,2677.691182150666,0.019288709776691837,0.9903086843117697,51.746412263563414,1050,MLP
51,37.2350539835512,2312.590929532429,0.04325280328216874,0.9781345493938097,48.08940558514348,1050,MLP
52,44.11249193063524,4287.398092401397,-0.12862586657029684,1.062368046662877,65.47822609388099,1050,MLP
53,32.983406390612636,1408.5901112338788,0.03861318009756198,0.9805033502759886,37.53118851347342,1050,MLP
54,36.842181631707696,2065.092786136637,-0.004993450685510048,1.0024936162816749,45.443291981728585,1050,MLP
