,dt,knn,svr,mlp,rf
relative_deviation,3.3919812650582375,2.6516482339989538,4.5958986698168705,3.1157118206721472,2.4622934321575496
R2,0.9190701891112325,0.9476443194224599,0.886696402022745,0.9428492198019419,0.9577263233827834
RMSE,43.052855088715155,34.48323779490071,50.77600657751364,36.18912762554101,31.32299828059289
RRMSE,0.2858122938069547,0.22892171196875147,0.33708349609733845,0.24024649599231,0.20794202774798426
