,S,M,E,S_MLP,S_RF,S_DT,M_MLP,M_RF,M_DT,E_MLP,E_RF,E_DT,Global_mean_MAE,Global_mean_MSE,Global_mean_R2_S,Global_mean_RRMSE,Global_mean_RMSE,Global_mean_MARE,Global_mean_R2,Global_sd_MAE,Global_sd_MSE,Global_sd_R2_S,Global_sd_RRMSE,Global_sd_RMSE,Global_sd_MARE,Global_sd_R2,Local_S_mean_MAE,Local_S_mean_MSE,Local_S_mean_R2_S,Local_S_mean_RRMSE,Local_S_mean_RMSE,Local_S_mean_MARE,Local_S_mean_R2,Local_S_sd_MAE,Local_S_sd_MSE,Local_S_sd_R2_S,Local_S_sd_RRMSE,Local_S_sd_RMSE,Local_S_sd_MARE,Local_S_sd_R2,Local_M_mean_MAE,Local_M_mean_MSE,Local_M_mean_R2_S,Local_M_mean_RRMSE,Local_M_mean_RMSE,Local_M_mean_MARE,Local_M_mean_R2,Local_M_sd_MAE,Local_M_sd_MSE,Local_M_sd_R2_S,Local_M_sd_RRMSE,Local_M_sd_RMSE,Local_M_sd_MARE,Local_M_sd_R2,Local_E_mean_MAE,Local_E_mean_MSE,Local_E_mean_R2_S,Local_E_mean_RRMSE,Local_E_mean_RMSE,Local_E_mean_MARE,Local_E_mean_R2,Local_E_sd_MAE,Local_E_sd_MSE,Local_E_sd_R2_S,Local_E_sd_RRMSE,Local_E_sd_RMSE,Local_E_sd_MARE,Local_E_sd_R2
0,1.5,97.0,1.5,0,0,1,0,0,1,0,0,1,33.11688774693314,2176.7663972123382,0.9054349231924558,0.30747032747702036,46.65144098158474,0.04582793302026635,0.9055197211656154,0.30992880883641094,59.628875523024305,0.003201416903626789,0.005203319009828014,0.6398840160951766,0.0005460086468702111,0.0031434178986460538,12.615119316140134,339.21284767853666,0.3890515165584538,0.7728291967924992,18.34349488911433,0.029401804650365664,0.459133614582663,1.078864029199264,60.94691608314127,0.19058713110778086,0.11697656186863475,1.6519815167165504,0.002503279985139887,0.13557945752362574,35.07107049095796,2341.429496222293,0.7239225413548421,0.5253613781006332,48.381459891940594,0.05268710409998365,0.724220580929549,0.5481845550806016,79.06604741074185,0.009011297617291804,0.008537039613440567,0.8147606684394921,0.0009658299913751159,0.008886577678583845,29.72563607662901,1895.7736085759873,0.7408230456309531,0.5086871967011388,43.50769882574421,0.031101319696627015,0.7414953434488661,0.6392358462699859,150.21834365037193,0.021182326553662,0.020354121975260465,1.6893050240628635,0.0006052736208783624,0.020980100090682186
1,1.5,97.0,1.5,0,0,1,0,0,1,1,0,0,35.686350828361896,2390.8844235117344,0.8961537061481468,0.3222026478266677,48.88913811262874,0.048570436260264055,0.8962388450865086,0.495919435669779,83.98053231174522,0.003620145424404695,0.0056344995640699716,0.85825294409403,0.0007261423318613113,0.0036130018021404992,12.615119316140134,339.21284767853666,0.3890515165584538,0.7728291967924992,18.34349488911433,0.029401804650365664,0.459133614582663,1.078864029199264,60.94691608314127,0.19058713110778086,0.11697656186863475,1.6519815167165504,0.002503279985139887,0.13557945752362574,35.07107049095796,2341.429496222293,0.7239225413548421,0.5253613781006332,48.381459891940594,0.05268710409998365,0.724220580929549,0.5481845550806016,79.06604741074185,0.009011297617291804,0.008537039613440567,0.8147606684394921,0.0009658299913751159,0.008886577678583845,38.24714589053989,2605.889980148856,0.644087209124646,0.5963681070416579,51.01917322498588,0.04019682778609075,0.6462673245300747,0.7736537314821865,176.35851148762958,0.019132550455060255,0.016058386559790444,1.7128758237943695,0.0007831013766742353,0.01940012669776648
2,1.5,97.0,1.5,0,0,1,0,0,1,0,1,0,28.958009590935887,1829.4143194557607,0.9205272462123937,0.28186869085973504,42.767300119952026,0.041492604744431824,0.9205783531473631,0.35727408828485935,51.98826722341705,0.00268431990909992,0.004774400551418702,0.6102130002815287,0.0006327161539153278,0.002668622638251676,12.615119316140134,339.21284767853666,0.3890515165584538,0.7728291967924992,18.34349488911433,0.029401804650365664,0.459133614582663,1.078864029199264,60.94691608314127,0.19058713110778086,0.11697656186863475,1.6519815167165504,0.002503279985139887,0.13557945752362574,35.07107049095796,2341.429496222293,0.7239225413548421,0.5253613781006332,48.381459891940594,0.05268710409998365,0.724220580929549,0.5481845550806016,79.06604741074185,0.009011297617291804,0.008537039613440567,0.8147606684394921,0.0009658299913751159,0.008886577678583845,15.924881835955915,743.8509026309005,0.8982707449196656,0.31841331333616074,27.23142467718114,0.01671454688160468,0.8985376942079244,0.5893667721939482,83.2533401935084,0.0119159215696402,0.018499107292578455,1.5167111399046014,0.0005958553986376901,0.011891560723038198
3,1.5,97.0,1.5,0,0,1,1,0,0,0,0,1,31.511149940834247,1952.40444972232,0.9151856868012068,0.29084319800641495,44.129375497116804,0.04326470327210572,0.9152795052455851,1.479698331477871,199.10377475354082,0.008838471519181606,0.014984904810990024,2.2366644712133588,0.0022832120698807,0.008837690239640409,12.615119316140134,339.21284767853666,0.3890515165584538,0.7728291967924992,18.34349488911433,0.029401804650365664,0.459133614582663,1.078864029199264,60.94691608314127,0.19058713110778086,0.11697656186863475,1.6519815167165504,0.002503279985139887,0.13557945752362574,32.72271370753346,2013.3852017618872,0.7628313777814599,0.48613322752605476,44.77990448708407,0.04893920458617722,0.7632196893379994,2.0648120003638346,258.0577268111214,0.028611808739711597,0.029036310262170687,2.8540069883437225,0.003275328643734193,0.02864046185738748,29.72563607662901,1895.7736085759873,0.7408230456309531,0.5086871967011388,43.50769882574421,0.031101319696627015,0.7414953434488661,0.6392358462699859,150.21834365037193,0.021182326553662,0.020354121975260465,1.6893050240628635,0.0006052736208783624,0.020980100090682186
4,1.5,97.0,1.5,0,0,1,1,0,0,1,0,0,34.080613022262995,2166.5224760217166,0.9059044697568981,0.3064184096848549,46.495063019110106,0.04600720651210341,0.9060206671258543,1.4727214841048717,202.33690879417173,0.008791365883997426,0.014257925841668332,2.175222027907978,0.0022821406083782117,0.008816938401204635,12.615119316140134,339.21284767853666,0.3890515165584538,0.7728291967924992,18.34349488911433,0.029401804650365664,0.459133614582663,1.078864029199264,60.94691608314127,0.19058713110778086,0.11697656186863475,1.6519815167165504,0.002503279985139887,0.13557945752362574,32.72271370753346,2013.3852017618872,0.7628313777814599,0.48613322752605476,44.77990448708407,0.04893920458617722,0.7632196893379994,2.0648120003638346,258.0577268111214,0.028611808739711597,0.029036310262170687,2.8540069883437225,0.003275328643734193,0.02864046185738748,38.24714589053989,2605.889980148856,0.644087209124646,0.5963681070416579,51.01917322498588,0.04019682778609075,0.6462673245300747,0.7736537314821865,176.35851148762958,0.019132550455060255,0.016058386559790444,1.7128758237943695,0.0007831013766742353,0.01940012669776648
5,1.5,97.0,1.5,0,0,1,1,0,0,0,1,0,27.35227178483699,1605.0523719657424,0.9302780098211448,0.2636294447769931,40.000713013770074,0.03892937499627118,0.9303326336147529,1.408475699628985,180.11693828080533,0.007943663760141561,0.014883078493024143,2.235023569394276,0.002216943539851694,0.007932374027024815,12.615119316140134,339.21284767853666,0.3890515165584538,0.7728291967924992,18.34349488911433,0.029401804650365664,0.459133614582663,1.078864029199264,60.94691608314127,0.19058713110778086,0.11697656186863475,1.6519815167165504,0.002503279985139887,0.13557945752362574,32.72271370753346,2013.3852017618872,0.7628313777814599,0.48613322752605476,44.77990448708407,0.04893920458617722,0.7632196893379994,2.0648120003638346,258.0577268111214,0.028611808739711597,0.029036310262170687,2.8540069883437225,0.003275328643734193,0.02864046185738748,15.924881835955915,743.8509026309005,0.8982707449196656,0.31841331333616074,27.23142467718114,0.01671454688160468,0.8985376942079244,0.5893667721939482,83.2533401935084,0.0119159215696402,0.018499107292578455,1.5167111399046014,0.0005958553986376901,0.011891560723038198
6,1.5,97.0,1.5,0,0,1,0,1,0,0,0,1,20.674342996812847,1087.9766206681218,0.952714650564117,0.21732575270302382,32.97051408291186,0.026984420856719073,0.9527592535045082,0.2356065729640765,63.37063453590202,0.0032192435051607315,0.007407202437309153,0.9601155017143855,0.0002788165848056729,0.003225924002040926,12.615119316140134,339.21284767853666,0.3890515165584538,0.7728291967924992,18.34349488911433,0.029401804650365664,0.459133614582663,1.078864029199264,60.94691608314127,0.19058713110778086,0.11697656186863475,1.6519815167165504,0.002503279985139887,0.13557945752362574,16.863291665354687,748.2062514938101,0.9117968370833038,0.2969037651604348,27.343787553848614,0.025113079918243665,0.9119953505217602,0.29744078968094334,39.39568835394068,0.004251501669860335,0.007163598973534395,0.7235562893124652,0.0004628022537937334,0.004330906091561892,29.72563607662901,1895.7736085759873,0.7408230456309531,0.5086871967011388,43.50769882574421,0.031101319696627015,0.7414953434488661,0.6392358462699859,150.21834365037193,0.021182326553662,0.020354121975260465,1.6893050240628635,0.0006052736208783624,0.020980100090682186
7,1.5,97.0,1.5,0,0,1,0,1,0,1,0,0,23.243806078241597,1302.0946469675184,0.9434334335198077,0.23771617185416263,36.06781476993562,0.029726924096716772,0.9435131099531846,0.4376224441361927,79.54353328444228,0.0035921443317479007,0.0075886836272394545,1.0988105792773435,0.0005052285879149516,0.003617748395056352,12.615119316140134,339.21284767853666,0.3890515165584538,0.7728291967924992,18.34349488911433,0.029401804650365664,0.459133614582663,1.078864029199264,60.94691608314127,0.19058713110778086,0.11697656186863475,1.6519815167165504,0.002503279985139887,0.13557945752362574,16.863291665354687,748.2062514938101,0.9117968370833038,0.2969037651604348,27.343787553848614,0.025113079918243665,0.9119953505217602,0.29744078968094334,39.39568835394068,0.004251501669860335,0.007163598973534395,0.7235562893124652,0.0004628022537937334,0.004330906091561892,38.24714589053989,2605.889980148856,0.644087209124646,0.5963681070416579,51.01917322498588,0.04019682778609075,0.6462673245300747,0.7736537314821865,176.35851148762958,0.019132550455060255,0.016058386559790444,1.7128758237943695,0.0007831013766742353,0.01940012669776648
8,1.5,97.0,1.5,0,0,1,0,1,0,0,1,0,16.515464840815593,740.624542911544,0.9678069735840549,0.17930036615286038,27.200803861372613,0.02264909258088454,0.9678321026387382,0.3229776402240088,46.56040730394455,0.0023808956849328314,0.006663716185089184,0.860704482781982,0.00042264880110805665,0.0023878392790948927,12.615119316140134,339.21284767853666,0.3890515165584538,0.7728291967924992,18.34349488911433,0.029401804650365664,0.459133614582663,1.078864029199264,60.94691608314127,0.19058713110778086,0.11697656186863475,1.6519815167165504,0.002503279985139887,0.13557945752362574,16.863291665354687,748.2062514938101,0.9117968370833038,0.2969037651604348,27.343787553848614,0.025113079918243665,0.9119953505217602,0.29744078968094334,39.39568835394068,0.004251501669860335,0.007163598973534395,0.7235562893124652,0.0004628022537937334,0.004330906091561892,15.924881835955915,743.8509026309005,0.8982707449196656,0.31841331333616074,27.23142467718114,0.01671454688160468,0.8985376942079244,0.5893667721939482,83.2533401935084,0.0119159215696402,0.018499107292578455,1.5167111399046014,0.0005958553986376901,0.011891560723038198
9,1.5,97.0,1.5,1,0,0,0,0,1,0,0,1,34.755402530645895,2417.6426753349833,0.8950183951871903,0.3238807822151194,49.1469035351257,0.04954462450384668,0.8969485979197758,0.6501955124133472,147.8033742063249,0.005934577178535723,0.009101852807642004,1.4914919523862242,0.001527529775114204,0.004902779330815862,119.11603041312696,15981.071510522883,-29.167037386321716,5.166494108782354,121.707065559506,0.27096706126606446,0.03305870873334172,34.89468692562388,9037.592542561266,24.94440552813378,1.8639678136274116,34.18276910106894,0.07942539210543206,0.03521035151699693,35.07107049095796,2341.429496222293,0.7239225413548421,0.5253613781006332,48.381459891940594,0.05268710409998365,0.724220580929549,0.5481845550806016,79.06604741074185,0.009011297617291804,0.008537039613440567,0.8147606684394921,0.0009658299913751159,0.008886577678583845,29.72563607662901,1895.7736085759873,0.7408230456309531,0.5086871967011388,43.50769882574421,0.031101319696627015,0.7414953434488661,0.6392358462699859,150.21834365037193,0.021182326553662,0.020354121975260465,1.6893050240628635,0.0006052736208783624,0.020980100090682186
