metric,catboost,dt,knn,svr,mlp,rf
R2,0.004034951035918483,0.005444998139068402,0.003831153716778481,0.006349625843759589,0.00508656947468777,0.0027057714036767037
RMSE,1.208035620056148,1.486025405740399,1.252374111836814,1.5220263635358182,1.6983026011486302,0.9823362797527039
RRMSE,0.008765047634588727,0.010300624542595402,0.00900924331285409,0.011090788095200038,0.011420908717147238,0.007002912937342752
relative_deviation,0.09681594605368696,0.10898374187744216,0.10771710700892297,0.2521190035418323,0.17685029774145022,0.06201237352212268
