,dt,knn,mlp,rf,svr
relative_deviation,0.016238447531934357,0.008554576621876505,0.011456797803541346,0.00833091878396754,0.37053782590549994
R2,0.9156516242361945,0.9543727457539325,0.9435489588620009,0.9646661404651362,
RMSE,0.054712549650690674,0.04028049854331563,0.044933959459153516,0.03542390174560983,0.6287297828425238
RRMSE,0.2907897474582901,0.21408536201816203,0.2388178728070545,0.18827321169199307,3.341613138841815
