metric,catboost,dt,knn,svr,mlp,rf
R2,0.0034662035407042237,0.0047867509361379955,0.0031845726272818693,0.010444928835214763,0.009902853733551795,0.0029276248898274953
RMSE,0.7996372453236503,1.305446790880664,0.9886902026660145,0.8651582802566866,1.8409885443327576,1.0040434214472913
RRMSE,0.0058424320857196005,0.009155740112204231,0.007177060482060852,0.0004611568302194844,0.012491073564188937,0.006846244506228738
relative_deviation,0.07289973198751293,0.1112710842506258,0.06425816881563534,0.13024509363230047,0.21820853924737216,0.06019441042975926
